source node,target node,highlight_words
"AFST 213-00 - Race, Racism, and the Beloved Community in the US","AFST 300-00 - Race, Racism, and the Beloved Community in the US",blacks
"AFST 300-00 - Race, Racism, and the Beloved Community in the US","AFST 213-00 - Race, Racism, and the Beloved Community in the US",blacks
"AFST 213-00 - Race, Racism, and the Beloved Community in the US",PHIL 124-00 - Friendship,historically experiences
PHIL 124-00 - Friendship,"AFST 213-00 - Race, Racism, and the Beloved Community in the US",experiences historically
AFST 289-00 - Global Blackness and Social Movements,POSC 120-00 - Democracy and Dictatorship,movements oppression
POSC 120-00 - Democracy and Dictatorship,AFST 289-00 - Global Blackness and Social Movements,oppression movements
AFST 289-00 - Global Blackness and Social Movements,PHYS 341-00 - Waves,unifying variable
PHYS 341-00 - Waves,AFST 289-00 - Global Blackness and Social Movements,variable unifying
AFST 289-00 - Global Blackness and Social Movements,MATH 111-00 - Introduction to Calculus,fundamental variable
MATH 111-00 - Introduction to Calculus,AFST 289-00 - Global Blackness and Social Movements,variable fundamental
"AFST 300-00 - Race, Racism, and the Beloved Community in the US","AFST 213-00 - Race, Racism, and the Beloved Community in the US",blacks
"AFST 213-00 - Race, Racism, and the Beloved Community in the US","AFST 300-00 - Race, Racism, and the Beloved Community in the US",blacks
"AFST 300-00 - Race, Racism, and the Beloved Community in the US",PHIL 124-00 - Friendship,historically experiences
PHIL 124-00 - Friendship,"AFST 300-00 - Race, Racism, and the Beloved Community in the US",experiences historically
AMST 115-00 - Intro to American Studies,DANC 266-00 - Reading the Dancing Body,gender contemporary
DANC 266-00 - Reading the Dancing Body,AMST 115-00 - Intro to American Studies,contemporary gender
AMST 115-00 - Intro to American Studies,RELG 110-00 - Understanding Religion,culture religion
RELG 110-00 - Understanding Religion,AMST 115-00 - Intro to American Studies,religion culture
AMST 115-00 - Intro to American Studies,CLAS 123-00 - Greek Archaeology and Art,culture
CLAS 123-00 - Greek Archaeology and Art,AMST 115-00 - Intro to American Studies,culture
AMST 269-00 - Woodstock Nation,JAPN 103-01 - Elementary Japanese,japanese american
JAPN 103-01 - Elementary Japanese,AMST 269-00 - Woodstock Nation,american japanese
AMST 269-00 - Woodstock Nation,HIST 209-00 - Slavery in the Atlantic World,revolution culture
HIST 209-00 - Slavery in the Atlantic World,AMST 269-00 - Woodstock Nation,culture revolution
AMST 269-00 - Woodstock Nation,LING 110-00 - Introduction to Linguistics,surely culture
LING 110-00 - Introduction to Linguistics,AMST 269-00 - Woodstock Nation,culture surely
AMST 321-00 - Indigenous Chicago: Indigenous Histories and Futures in Zhegagoynak,CS 304-00 - Social Computing,science research
CS 304-00 - Social Computing,AMST 321-00 - Indigenous Chicago: Indigenous Histories and Futures in Zhegagoynak,research science
AMST 321-00 - Indigenous Chicago: Indigenous Histories and Futures in Zhegagoynak,HIST 209-00 - Slavery in the Atlantic World,history
HIST 209-00 - Slavery in the Atlantic World,AMST 321-00 - Indigenous Chicago: Indigenous Histories and Futures in Zhegagoynak,history
AMST 396-00 - Junior Research Seminar (Producing Latinidad),SPAN 369-00 - The Carnival Trail,cultural
SPAN 369-00 - The Carnival Trail,AMST 396-00 - Junior Research Seminar (Producing Latinidad),cultural
AMST 396-00 - Junior Research Seminar (Producing Latinidad),CLAS 214-00 - Gender & Sexlty Classicl Antiqty,social gender
CLAS 214-00 - Gender & Sexlty Classicl Antiqty,AMST 396-00 - Junior Research Seminar (Producing Latinidad),gender social
AMST 396-00 - Junior Research Seminar (Producing Latinidad),POSC 160-00 - Political Philosophy,political
POSC 160-00 - Political Philosophy,AMST 396-00 - Junior Research Seminar (Producing Latinidad),political
ARBC 103-00 - Elementary Arabic,JAPN 206-00 - Japanese in Cultural Context,language
JAPN 206-00 - Japanese in Cultural Context,ARBC 103-00 - Elementary Arabic,language
ARBC 103-00 - Elementary Arabic,GRK 102-00 - Intermediate Greek,grammar
GRK 102-00 - Intermediate Greek,ARBC 103-00 - Elementary Arabic,grammar
ARBC 103-00 - Elementary Arabic,PSYC 354-00 - Counseling Psychology,cultural contemporary
PSYC 354-00 - Counseling Psychology,ARBC 103-00 - Elementary Arabic,contemporary cultural
ARBC 206-00 - Arabic in Cultural Context,FREN 103-01 - Intermediate French,listening modern
FREN 103-01 - Intermediate French,ARBC 206-00 - Arabic in Cultural Context,modern listening
ARBC 206-00 - Arabic in Cultural Context,SPAN 103-01 - Intermediate Spanish,listening
SPAN 103-01 - Intermediate Spanish,ARBC 206-00 - Arabic in Cultural Context,listening
ARBC 222-00 - Music in the Middle East,PSYC 220-00 - Sensation and Perception,psychology knowledge
PSYC 220-00 - Sensation and Perception,ARBC 222-00 - Music in the Middle East,knowledge psychology
ARBC 222-00 - Music in the Middle East,ECON 331-00 - Intermediate Macro Theory,special knowledge
ECON 331-00 - Intermediate Macro Theory,ARBC 222-00 - Music in the Middle East,knowledge special
ARBC 222-00 - Music in the Middle East,BIOL 126-52 - Energy Flow in Biological Systems and Lab,experiences crosscultural
BIOL 126-52 - Energy Flow in Biological Systems and Lab,ARBC 222-00 - Music in the Middle East,crosscultural experiences
ARCN 112-00 - Native North America,GEOL 230-52 - Paleobiology & Lab,ecology humans
GEOL 230-52 - Paleobiology & Lab,ARCN 112-00 - Native North America,humans ecology
ARCN 112-00 - Native North America,HIST 209-00 - Slavery in the Atlantic World,history culture
HIST 209-00 - Slavery in the Atlantic World,ARCN 112-00 - Native North America,culture history
ARCN 112-00 - Native North America,CHEM 362-00 - Chemistry at the Nanoscale,literature linguistics
CHEM 362-00 - Chemistry at the Nanoscale,ARCN 112-00 - Native North America,linguistics literature
ARCN 222-00 - Exper Arch & History & Lab,CHIN 358-00 - Advanced Chinese: Everyday Life in Ancient China,ancient premodern
CHIN 358-00 - Advanced Chinese: Everyday Life in Ancient China,ARCN 222-00 - Exper Arch & History & Lab,premodern ancient
ARCN 222-00 - Exper Arch & History & Lab,SOAN 240-00 - Methods of Social Research,anthropologists hypotheses
SOAN 240-00 - Methods of Social Research,ARCN 222-00 - Exper Arch & History & Lab,hypotheses anthropologists
ARCN 222-00 - Exper Arch & History & Lab,MELA 230-00 - Jewish Collective Memory,medieval history
MELA 230-00 - Jewish Collective Memory,ARCN 222-00 - Exper Arch & History & Lab,history medieval
